id,titulo,url_pdf,caminho_local,status_download
973,Esclerose múltipla - OCRELIZUMAB,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/973.pdf,output/df_tjdft/pdfs/973.pdf,sucesso
974,ADENOCARCINOMA DE PRÓSTATA METASTÁTICO - ENZALUTAMIDA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/974.pdf,output/df_tjdft/pdfs/974.pdf,sucesso
975,NINTEDANIBE / DOENÇA PULMONAR INTERSTICIAL FIBROSANTE PROGRESSIVA COM CVF < 45%,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/975.pdf,output/df_tjdft/pdfs/975.pdf,sucesso
976,Linfoma de Células do Manto - Acalabrutinibe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/976.pdf,output/df_tjdft/pdfs/976.pdf,sucesso
977,Esclerose múltipla - Ocrelizumab (Ocrevus),https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/977.pdf,output/df_tjdft/pdfs/977.pdf,sucesso
978,Transtorno do espectro autista - Aripiprazol,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/978.pdf,output/df_tjdft/pdfs/978.pdf,sucesso
979,Mieloma múltiplo - Bortezomibe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/979.pdf,output/df_tjdft/pdfs/979.pdf,sucesso
980,IMPLANTE PERCUTÂNEO DE VÁLVULA AÓRTICA (TAVI) / ESTENOSE AÓRTICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/980.pdf,output/df_tjdft/pdfs/980.pdf,sucesso
981,ATROFIA MUSCULAR ESPINHAL - ZOLGENSMA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/981.pdf,output/df_tjdft/pdfs/981.pdf,sucesso
982,Polineuropatia Amiloidótica Familiar - Onpattro,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/982.pdf,output/df_tjdft/pdfs/982.pdf,sucesso
983,Espondiloartrite - Golimumabe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/983.pdf,output/df_tjdft/pdfs/983.pdf,sucesso
984,Mieloma múltiplo - Bortezomibe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/984.pdf,output/df_tjdft/pdfs/984.pdf,sucesso
985,MICOFENOLATO DE MOFETILA / LÚPUS ERITEMATOSO SISTÊMICO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/985.pdf,output/df_tjdft/pdfs/985.pdf,sucesso
986,AZACITIDINA / SÍNDROME MIELODISPLÁSICA DE  RISCO INTERMEDIÁRIO-1,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/986.pdf,output/df_tjdft/pdfs/986.pdf,sucesso
987,Esclerose múltipla - Ocrelizumab (Ocrevus),https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/987.pdf,output/df_tjdft/pdfs/987.pdf,sucesso
988,Adenocarcinoma da próstata disseminada - Exame PET Scan com PSMA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/988.pdf,output/df_tjdft/pdfs/988.pdf,sucesso
989,AZACITIDINA / SÍNDROME MIELODISPLÁSICA DO TIPO AREB,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/989.pdf,output/df_tjdft/pdfs/989.pdf,sucesso
990,VIH E HEPATITE B - TENOFOVIR ALAFENAMIDE,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/990.pdf,output/df_tjdft/pdfs/990.pdf,sucesso
991,ELETROCONVULSOTERAPIA/ ESQUIZOFRENIA REFRATÁRIA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/991.pdf,output/df_tjdft/pdfs/991.pdf,sucesso
992,Adenocarcinoma de cólon - CETUXIMABE,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/992.pdf,output/df_tjdft/pdfs/992.pdf,sucesso
993,DERMATITE ATÓPICA - DUPIXENT (DUPILUMABE),https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/993.pdf,output/df_tjdft/pdfs/993.pdf,sucesso
994,NINTEDANIBE OU PIRFENIDONA / FIBROSE PULMONAR IDIOPÁTICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/994.pdf,output/df_tjdft/pdfs/994.pdf,sucesso
995,HIPERTENSÃO PULMONAR - BOSENTANA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/995.pdf,output/df_tjdft/pdfs/995.pdf,sucesso
996,ATROFIA MUSCULAR ESPINHAL - ZOLGENSMA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/996.pdf,output/df_tjdft/pdfs/996.pdf,sucesso
997,ATROFIA MUSCULAR ESPINHAL - ZOLGENSMA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/997.pdf,output/df_tjdft/pdfs/997.pdf,sucesso
998,CIRURGIA ANTIGLAUCOMATOSA COM LASER E COM SONDA TRANSESCLERAL / GLAUCOMA INFANTIL,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/998.pdf,output/df_tjdft/pdfs/998.pdf,sucesso
999,MICOFENOLATO DE MOFETILA / ESCLEROSE SISTÊMICA (PNEUMOPATIA INTERSTICIAL),https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/999.pdf,output/df_tjdft/pdfs/999.pdf,sucesso
1000,RITUXIMABE / ARTRITE REUMATOIDE + SÍNDROME DE SJÖGREN,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1000.pdf,output/df_tjdft/pdfs/1000.pdf,sucesso
1002,Lúpus Eritematoso Sistêmico - MICOFENOLATO DE MOFETILA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1002.pdf,output/df_tjdft/pdfs/1002.pdf,sucesso
1004,Mioma uterino - Acetato de gosserrelina,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1004.pdf,output/df_tjdft/pdfs/1004.pdf,sucesso
1005,OLAPARIBE / CARCINOMA DE OVÁRIO METASTÁTICO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1005.pdf,output/df_tjdft/pdfs/1005.pdf,sucesso
1006,RITUXIMABE / LINFOMA DE CÉLULAS DO MANTO,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1006.pdf,output/df_tjdft/pdfs/1006.pdf,sucesso
1007,"QUETIAPINA, GABAPENTINA, ALPRAZOLAM, DULOXETINA /DEPRESSÃO, ANSIEDADE E FIBROMIALGIA",https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1007.pdf,output/df_tjdft/pdfs/1007.pdf,sucesso
1008,BEVACIZUMABE/ NEOPLASIA CEREBRAL (ASTROCITOMA ANAPLÁSICO),https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1008.pdf,output/df_tjdft/pdfs/1008.pdf,sucesso
